original,term,score
zirgs,vezums,0.8132844567298889
zirgs,rats,0.8042181730270386
zirgs,kumeļš,0.7646194696426392
zirgs,bēris,0.7406471967697144
zirgs,zirdziņš,0.7327349781990051
zirgs,arkls,0.7156577706336975
zirgs,jūgt,0.7114898562431335
zirgs,pajūgs,0.7041206955909729
zirgs,braucējs,0.7018976807594299
zirgs,ķēve,0.7018505930900574
zirgs,lopiņš,0.6964672207832336
zirgs,ormanis,0.6946493983268738
zirgs,plosts,0.6805652976036072
zirgs,groži,0.6768373250961304
zirgs,ritenis,0.6673145890235901
zirgs,aizjūgt,0.6659576296806335
zirgs,sajūgt,0.6651254296302795
zirgs,iejūgt,0.6633574366569519
zirgs,vedējs,0.6620032787322998
zirgs,ragavas,0.6611423492431641
zirgs,kamanas,0.6603516936302185
zirgs,stallis,0.654878556728363
zirgs,bērs,0.6494849920272827
zirgs,piesiet,0.6487595438957214
zirgs,ore,0.6395548582077026
dzelzceļš,dzelzsceļs,0.9200308918952942
dzelzceļš,tvaikonis,0.8844715356826782
dzelzceļš,osta,0.8838462233543396
dzelzceļš,Daugavmala,0.8745442628860474
dzelzceļš,šoseja,0.8667269349098206
dzelzceļš,piestātne,0.8622159957885742
dzelzceļš,kuģītis,0.8599019050598145
dzelzceļš,stacija,0.849060595035553
dzelzceļš,vezumnieks,0.8436744213104248
dzelzceļš,automobilis,0.8363602161407471
dzelzceļš,grīva,0.8345760703086853
dzelzceļš,priekšpilsēta,0.8326491117477417
dzelzceļš,Rauna,0.8313130140304565
dzelzceļš,jahta,0.8282555341720581
dzelzceļš,cietoksnis,0.8265498280525208
dzelzceļš,Bauska,0.824552595615387
dzelzceļš,netāļāt,0.8237048387527466
dzelzceļš,rajons,0.8231467008590698
dzelzceļš,sliede,0.8220601677894592
dzelzceļš,sloka,0.8213874697685242
dzelzceļš,pasažieris,0.8208250999450684
dzelzceļš,attāls,0.8197081089019775
dzelzceļš,miests,0.8148858547210693
dzelzceļš,stiga,0.8130443692207336
dzelzceļš,bulvāris,0.8117372989654541
ormanis,važonis,0.8947336077690125
ormanis,rats,0.8776338696479797
ormanis,tramvajs,0.8586097359657288
ormanis,kamanas,0.8462308049201965
ormanis,auto,0.8422199487686157
ormanis,ragavas,0.8402929306030273
ormanis,pajūgs,0.8270154595375061
ormanis,taksometrs,0.8264915347099304
ormanis,iesēsties,0.8236553072929382
ormanis,federrati,0.8213246464729309
ormanis,divjūgs,0.8191618323326111
ormanis,autobuss,0.8145583271980286
ormanis,pieturēt,0.8136486411094666
ormanis,kučieris,0.8085272312164307
ormanis,iekāpt,0.8071173429489136
ormanis,divritenis,0.8047744631767273
ormanis,droška,0.7984433174133301
ormanis,braucējs,0.7965131998062134
ormanis,kariete,0.7855509519577026
ormanis,vedējs,0.7855377793312073
ormanis,šoferis,0.7834135293960571
ormanis,automobilis,0.7811124920845032
ormanis,aizjāt,0.7769697308540344
ormanis,vāģis,0.7727404832839966
ormanis,Šofers,0.7708116769790649
pajūgs,automobilis,0.8483832478523254
pajūgs,braucējs,0.8291072845458984
pajūgs,ormanis,0.8270153999328613
pajūgs,jātnieks,0.8240419030189514
pajūgs,kariete,0.8123003244400024
pajūgs,vezums,0.8089863657951355
pajūgs,važonis,0.8068714737892151
pajūgs,aizjāt,0.7996939420700073
pajūgs,auto,0.7979167103767395
pajūgs,rats,0.7970165610313416
pajūgs,kamanas,0.7954561710357666
pajūgs,ragavas,0.795096755027771
pajūgs,vāģis,0.7950844168663025
pajūgs,ore,0.7931416034698486
pajūgs,divjūgs,0.7848815321922302
pajūgs,priekšejs,0.7841828465461731
pajūgs,braucejs,0.7816133499145508
pajūgs,priekšgals,0.7813045382499695
pajūgs,droška,0.779490053653717
pajūgs,priekšējs,0.779087483882904
pajūgs,tramvajs,0.7790692448616028
pajūgs,taksometrs,0.7743867039680481
pajūgs,divritenis,0.774361789226532
pajūgs,plosts,0.7697492241859436
pajūgs,vezumnieks,0.7672062516212463
kariete,kamanas,0.8547024130821228
kariete,droška,0.8486566543579102
kariete,vāģis,0.8456710577011108
kariete,divjūgs,0.8397316336631775
kariete,taksometrs,0.8362740278244019
kariete,buka,0.8300381302833557
kariete,ragavas,0.8235552310943604
kariete,pajūgs,0.8123003244400024
kariete,lievenis,0.8109307885169983
kariete,ore,0.8098759651184082
kariete,važonis,0.8096773624420166
kariete,divritenis,0.8084147572517395
kariete,linijdrošks,0.8078809976577759
kariete,iesēsties,0.8040241003036499
kariete,kulba,0.8034970164299011
kariete,līnijdroška,0.7998024225234985
kariete,stallis,0.799284815788269
kariete,perons,0.7992033958435059
kariete,sētsvidus,0.7989274859428406
kariete,tiltiņš,0.7971767783164978
kariete,Brēde,0.7946957945823669
kariete,ormanis,0.7855509519577026
kariete,slita,0.7847756743431091
kariete,aizjūgs,0.7804419994354248
kariete,Rātsvārts,0.7791277170181274
kamanas,ragavas,0.899779200553894
kamanas,droška,0.8714306354522705
kamanas,divritenis,0.8598732948303223
kamanas,kariete,0.8547026515007019
kamanas,važonis,0.8529599905014038
kamanas,melnis,0.8488859534263611
kamanas,ormanis,0.8462308645248413
kamanas,rats,0.8398454189300537
kamanas,olnīca,0.8360117673873901
kamanas,buka,0.8327584266662598
kamanas,iesēsties,0.8307156562805176
kamanas,ritenis,0.8288827538490295
kamanas,riksis,0.8259219527244568
kamanas,divjūgs,0.8251171708106995
kamanas,vāģis,0.8223307132720947
kamanas,stūre,0.8185971975326538
kamanas,stallis,0.8180070519447327
kamanas,steigšus,0.8177499771118164
kamanas,taksometrs,0.8164215683937073
kamanas,auto,0.8128218650817871
kamanas,linijdrošks,0.810539186000824
kamanas,pusteciņus,0.8104614019393921
kamanas,tramvajs,0.8099696040153503
kamanas,airis,0.8091643452644348
kamanas,kulba,0.807830274105072
laiva,plosts,0.8499941825866699
laiva,kuģis,0.7732964158058167
laiva,tilts,0.7723682522773743
laiva,laiviņa,0.7680134773254395
laiva,upe,0.7441418170928955
laiva,laipa,0.7418876886367798
laiva,šoseja,0.7418486475944519
laiva,bura,0.7374410629272461
laiva,grāvis,0.7284870743751526
laiva,sēklis,0.7259737849235535
laiva,Lielupe,0.7235717177391052
laiva,Upīte,0.7223775386810303
laiva,krasts,0.7203028798103333
laiva,airis,0.7196142673492432
laiva,jahta,0.7186616659164429
laiva,klājs,0.7155799269676208
laiva,lejā,0.7052395343780518
laiva,mala,0.7018194794654846
laiva,enkurs,0.6915796399116516
laiva,līkums,0.6881539225578308
laiva,Gauja,0.6865158081054688
laiva,stiga,0.6857853531837463
laiva,Daugava,0.6809810400009155
laiva,lejup,0.6775755882263184
laiva,lielceļš,0.6758827567100525
plosts,laiva,0.8499941229820251
plosts,vezums,0.8265619277954102
plosts,grāvis,0.807374894618988
plosts,tilts,0.8053021430969238
plosts,ragavas,0.7989951968193054
plosts,šoseja,0.7866056561470032
plosts,ritenis,0.7827057242393494
plosts,ore,0.7743476033210754
plosts,līkums,0.771228015422821
plosts,pajūgs,0.7697491645812988
plosts,sēklis,0.7675401568412781
plosts,kuģītis,0.7649915814399719
plosts,vaga,0.7621831297874451
plosts,lielceļš,0.7614120244979858
plosts,priekšējs,0.7605567574501038
plosts,stiga,0.7601123452186584
plosts,laipa,0.7556929588317871
plosts,kuģis,0.7551108598709106
plosts,enkurs,0.7541996240615845
plosts,plostnieks,0.7523461580276489
plosts,kamanas,0.7520797252655029
plosts,airis,0.7517737150192261
plosts,ilkss,0.7441168427467346
plosts,piestātne,0.7410589456558228
plosts,ierakums,0.7398384213447571
burinieks,rakums,0.8806530237197876
burinieks,Kanarija,0.878304660320282
burinieks,kanāls,0.8781886100769043
burinieks,Odess,0.8742823004722595
burinieks,Bostona,0.8729918599128723
burinieks,kabelis,0.8717159032821655
burinieks,Kūrava,0.8701661825180054
burinieks,sauszeme,0.8690929412841797
burinieks,okeana,0.8686408996582031
burinieks,šaurums,0.8683262467384338
burinieks,cisterna,0.8679795861244202
burinieks,elevators,0.865339457988739
burinieks,kanālis,0.8639079332351685
burinieks,josla,0.8638572096824646
burinieks,ziemeļrietumi,0.8629684448242188
burinieks,uzbērums,0.8626260757446289
burinieks,tva,0.8621011972427368
burinieks,cējs,0.8615391850471497
burinieks,kolons,0.8614028692245483
burinieks,tranzits,0.8611190915107727
burinieks,Monte,0.8601108193397522
burinieks,Oļuciems,0.8596006035804749
burinieks,stū,0.8595259785652161
burinieks,melnzeme,0.8590736389160156
burinieks,Zunds,0.8589961528778076
