consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
kamanas,1.0,kamanas,1.0,auļos,1,kamanam,1.0,dzelzsceļa,2.0,automobiļi,0.0
kropli,1.0,krievu trijjūgi,1.0,fūrmaņu kamanas,0,ragavas,1.0,fūrmaņu kamanas,0.0,kamanām,0.0
rati,2.0,mērnieka kājas,0.0,kamanam,1,slitas,1.0,kamanas,1.0,pātagas,2.0
trijjūgi,3.0,ragavas,1.0,kamanas,1,trijjūgiem,1.0,trijjūgi,3.0,zirgiem,4.0
zirgi,4.0,trijjūgi,3.0,kamanās,8,vilcienu,1.0,vezumnieku ragavas,1.0,,
zirgu slidas,0.0,zirgi,4.0,kamanās,8,zirgiem,4.0,vilcienu,1.0,,
,,,,kamanās,8,,,zirgiem,4.0,,
,,,,kamanās,8,,,,,,
,,,,ragavas,1,,,,,,
,,,,rikšos,1,,,,,,
,,,,slitas,1,,,,,,
,,,,trijjūgiem,1,,,,,,
,,,,vezumnieku ragavas,1,,,,,,
,,,,vilciena,2,,,,,,
,,,,zirgiem,4,,,,,,
