consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
beņķi,2.0,aunieki,0.0,Dūkanis,5.0,Dūkani,12,Dūkani,12.0,Dūkani,12.0
dreimaņi,14.0,dreimaņi,14.0,Skanuļi,37.0,Skanuļiem,23,Dūkani,12.0,Dūkani,12.0
dreivās,6.0,dreiva,3.0,dreimaņi,14.0,dreimaņi,14,Dūķani,0.0,Dūkani,12.0
dreivēja,4.0,dreivos,0.0,kamanās,3.0,kamanās,3,Pēteris aizjūdz zirgu,0.0,Dūkani,12.0
dreivēja bumbu,0.0,dreivām,3.0,ragavas,4.0,kamanās,3,RATIŅŠ,1.0,Dūkani,12.0
dreivēja ratiņš,0.0,dreivē,9.0,rati,89.0,kamanās,3,Skanuļi,37.0,Mellai,0.0
dreivēt,1.0,dreivēšanu,1.0,ratiem,15.0,kamanās,3,Svēcainē,0.0,aumalieiem,0.0
karieta,0.0,dzirnavas,8.0,ratiņi,15.0,kamanās,3,Tā esam,0.0,ceļa.vēl,0.0
kariete,2.0,kamanas,2.0,slitas,5.0,kamanās,3,Uz,71.0,dreimaais,0.0
kučieris,0.0,kariete,2.0,stellēs,4.0,kamanās,3,asis,4.0,dreimaņiem,8.0
ratiem,15.0,kravas rati,0.0,vezums,3.0,kamanās,3,"atskatās vēl pie durvīm atpakaļ, noteikdams:",1.0,dreivās.,0.0
ratiņa,8.0,kroņa rati,0.0,,,kamanās,3,azjūdz Dūkani,0.0,drīvāsi,0.0
ratiņa dreivēt,0.0,kučieris,0.0,,,kamanās,3,dreimaņi,14.0,dūkans,0.0
ratiņi,15.0,laiva,17.0,,,kamanās,3,"dēla stāstu par ratiņu,",1.0,galvuī,0.0
ratiņi,15.0,murdu rati,0.0,,,kamanās,3,"dūkoņu, kas",1.0,gandriż,0.0
ratiņi,15.0,pieliekamais vezums,0.0,,,kamanās,3,dūšīgi vērpj?,1.0,grābtekli,0.0
ratiņiem,10.0,ragaviņas,7.0,,,kamanās,3,ierdzot jaunu sēdekli un .aizveda Dūkani,0.0,grāvjos,2.0
ratiņiem,10.0,rati,89.0,,,kamanās,3,jeb ratiņu,0.0,gulta,17.0
ratiņš,9.0,ratiem,15.0,,,kamanās,3,"jābrauc uz Rēpēniem ar lielo pudeli, kas ielikta pītā grozā, un",0.0,gulta,17.0
ripiņas,0.0,ratino,0.0,,,kamanās,3,jājūdz,1.0,gultä,0.0
spieķus,1.0,ratinzervējums,0.0,,,kamanās,3,"jāsteidz darbs,-lai nenokavētu paredzēto",0.0,ierus,1.0
spoles,2.0,ratiņi,15.0,,,kamanās,3,kuru tad aizstiepj sēkdami,0.0,kažocies,0.0
vagons,0.0,ratiņu,27.0,,,kamanās,3,"malku no Grotužu meža, jo kas",1.0,kažokā,4.0
velēklu,2.0,ratiņu dreimaņi,2.0,,,kamanās,3,"no ratiem,",1.0,līdzcietes,0.0
zirgu,69.0,ratiņu vezumus,1.0,,,kamanās,3,no ratiņiem,0.0,mumsī,0.0
,,ratiņš,9.0,,,kamanās,3,no savas ataugas priekš,1.0,paltrakos,1.0
,,ratos,18.0,,,kamanās,3,no visa prātā nav palicis.,0.0,ragavam,0.0
,,ratveži,0.0,,,kamanās,3,"pa lielceļu,",1.0,ragaviņas,7.0
,,ratēm,0.0,,,kamanās,3,pabailīga,1.0,ragavu,1.0
,,velēklu rati,0.0,,,kamanās,3,paliek uz ratiem.,0.0,raguvam,0.0
,,vilciens,1.0,,,kamanās,3,pie kādas slitas,1.0,rati,89.0
,,vāģi,0.0,,,kamanās,3,preferanss.,1.0,ratiem,15.0
,,vāģis,0.0,,,kamanās,3,ragavu ceļš,1.0,ratiem,15.0
,,zirga pajūgs,0.0,,,kamanās,3,ragavu ceļš.,1.0,ratiem,15.0
,,zirgs,14.0,,,kamanās,3,rati,89.0,ratiņi,15.0
,,šlepju,0.0,,,kamanās,3,rati,89.0,ratiņiem,10.0
,,,,,,kamanās,3,rati,89.0,ratiņu,27.0
,,,,,,kamanās,3,rati,89.0,ratiņu,27.0
,,,,,,kamanās,3,ratiem,15.0,ratiņu,27.0
,,,,,,kamanās,3,ratiem,15.0,ratiņu,27.0
,,,,,,kamanās,3,ratiņa,8.0,ratiņu,27.0
,,,,,,kamanās,3,ratiņi,15.0,ratiņus,7.0
,,,,,,kamanās,3,ratiņiem.,2.0,ratiņš,9.0
,,,,,,kamanās,3,ratiņu,27.0,ratos,18.0
,,,,,,kamanās,3,ratiņu,27.0,ratos,18.0
,,,,,,kamanās,3,ratiņu,27.0,ratusī,0.0
,,,,,,kamanās,3,ratiņu dreimaņi,2.0,rātī,19.0
,,,,,,kamanās,3,ratiņš,9.0,rīkstes,2.0
,,,,,,kamanās,3,ratiņš,9.0,rīkstes,2.0
,,,,,,kamanās,3,ratiņš aizgājis pa rubli,0.0,rīkstoi,0.0
,,,,,,kamanās,3,ratiņš sastopams vairs tikai,1.0,stalli,2.0
,,,,,,kamanās,3,ratos,18.0,stangas,0.0
,,,,,,kamanās,3,ratu,21.0,stelles,4.0
,,,,,,kamanās,3,rātiņi,0.0,stellis,0.0
,,,,,,kamanās,3,spolītes,2.0,stellt,0.0
,,,,,,kamanās,3,"tirgu igauņos vai Latgalē, kur ratiņus visvairāk",1.0,stellös,0.0
,,,,,,kamanās,3,tēvs piesien Dūkani,0.0,ställös,0.0
,,,,,,kamanās,3,tēvs skubina Dūkanīti,0.0,stöllos,0.0
,,,,,,kamanās,3,un jābrauc uz Crotužu mežu pēc spoļu,0.0,stölläh,0.0
,,,,,,kamanās,3,un mēs stenājamies atvadīties.,0.0,stāvu,11.0
,,,,,,kamanās,3,uz ratiem.,2.0,tupulėš,0.0
,,,,,,kamanās,3,vezums,3.0,tupuulės,0.0
,,,,,,kamanās,3,vien atkauties no Lavenii suņiem. Uz krustcelēm eglu,0.0,vakaros,16.0
,,,,,,kamanās,3,vēl pieprasīja .,0.0,vērtības.,0.0
,,,,,,kamanās,3,"vērpām"" ratiņu,",0.0,zirgam,6.0
,,,,,,kamanās,3,ziemas klusumu nereti pārvērš par,1.0,zirgs,14.0
,,,,,,kamanās,3,zirgs,14.0,zirgs,14.0
,,,,,,kamanās,3,,,zirgs,14.0
,,,,,,kamanās,3,,,zirguu,0.0
,,,,,,kamanās,3,,,zvaniņš,1.0
,,,,,,kamanās,3,,,zābakiem,6.0
,,,,,,kamanās,3,,,zāģi,9.0
,,,,,,kamanās,3,,,ārumiņu,0.0
,,,,,,kamanās,3,,,ātraji,0.0
,,,,,,kamanās,3,,,šķieti,1.0
,,,,,,kamanās,3,,,šķiets,2.0
,,,,,,kamanās,3,,,šķērītēm,1.0
,,,,,,kamanās,3,,,ūdenī,14.0
,,,,,,kamanās,3,,,žargam,0.0
,,,,,,kamanās,3,,,žoguļiem,0.0
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
,,,,,,kamanās,3,,,,
