consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
auto,17.0,auto,17.0,armija,46,auto,17.0,auto,17.0,automašīna,0.0
auto-mašīna,1.0,limuzins,2.0,auto,17,automobīlī,0.0,automašīna,0.0,biksēs,1.0
limuzins,2.0,mašīna,8.0,automobīilī,0,divrati,1.0,automobilēja,0.0,bruņcepures,1.0
retais ormaņu pajūgs,0.0,revolvers,1.0,bataljonu,10,limuzins,2.0,autovadītāja,0.0,cepures,8.0
zirdziņš,0.0,somiņu,4.0,bruņotā vilciena,0,pajumā,0.0,bruģga,2.0,formas cepures,1.0
,,"zelta cilvēks, saprata, ka laiks lūzt un kadrs jāsavērpj, lai nostiprinātu saikni. Pēc īsas sarunas viņi šķīrās ar smaidiem, kurus rotāja skopi vārdi, bet kur izskanēja viena piezīme, kas turpināja interesēt Liepu visu vakaru: polītika ir karš citos veidos.",0.0,bruņumašīna,1,pajūgu,1.0,iekārta,1.0,kurpes,1.0
,,,,divrati,1,vezumi,2.0,ierakumos,11.0,lakatā,2.0
,,,,kara spēka daļām,1,vilciens,8.0,kara misijām,0.0,pajūgs,0.0
,,,,karaspēka nodaļas,0,zirdziņiem,1.0,lādiniem,0.0,pastalas,2.0
,,,,karaspēka transporta ratos,1,zirgs,2.0,pajūgs,0.0,pašautos svārkos,0.0
,,,,karaspēkam,3,zirgus,2.0,pulka karogam,1.0,platmales,2.0
,,,,karaspēkā,1,,,vagonos,2.0,rati,30.0
,,,,karavīru,3,,,vezumiem,0.0,spieķi,1.0
,,,,kareivju rindās,1,,,vilciens,8.0,svārkos,4.0
,,,,latviešu kareivju patruļa,0,,,zirgus,2.0,trolejbuss,0.0
,,,,limuzins,2,,,šautene,10.0,vezumi,2.0
,,,,ormaņu pajūgos,0,,,šautene,10.0,zirgs,2.0
,,,,pajūgi,1,,,šosejas,8.0,zābaki,6.0
,,,,pajūgu,1,,,,,,
,,,,patruļas,6,,,,,,
,,,,pulka karogam,1,,,,,,
,,,,rota,91,,,,,,
,,,,rotu,39,,,,,,
,,,,sanitārrati,1,,,,,,
,,,,vezumi,2,,,,,,
,,,,vilciens,8,,,,,,
,,,,vācu kareivji,3,,,,,,
,,,,zemnieku ratos,2,,,,,,
,,,,ziemeļarmija,5,,,,,,
,,,,zirgs,2,,,,,,
,,,,zirgus,2,,,,,,
