consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
Nav pieminēts neviens sauszemes transportlīdzeklis vai transporta veids latviešu valodā.,0.0,- kumeļi,0.0,jāja,22,kājas,14.0,autobusu,0.0,jātniekus,4.0
Pēc teksta analīzes:,0.0,- pielik,0.0,jāja,22,kājām,15.0,automobili,0.0,kareivji,7.0
,,- ragavas,0.0,jāja,22,pajūgi,1.0,automobilī,0.0,kumeliņu,2.0
,,- rati,0.0,jāja,22,ragavu,1.0,cirvjiem,1.0,kumeļi,2.0
,,- zirgi,0.0,jāja,22,ragavām,2.0,ekskavatoru,0.0,pajūgi,1.0
,,,,jāja,22,ragavās,3.0,kumeliņu,2.0,ragavās,3.0
,,,,jāja,22,ratiem,1.0,kumeļam,3.0,rati,9.0
,,,,jāja,22,ratus,4.0,laivās,2.0,transports,0.0
,,,,jāja,22,riteņus,1.0,rati,9.0,zirgam,8.0
,,,,jāja,22,vezumiem,2.0,ratiem,1.0,zirgi,30.0
,,,,jāja,22,vezumu,5.0,tramvaju,0.0,šūpulis,1.0
,,,,jāja,22,zirga,28.0,trolejbuss,0.0,,
,,,,jāja,22,zirgam,8.0,vilcienu,0.0,,
,,,,jāja,22,zirgiem,22.0,zirgam,8.0,,
,,,,jāja,22,zirgus,18.0,zirgs,17.0,,
,,,,jāja,22,くめ,0.0,zobeniem,2.0,,
,,,,jāja,22,,,zobenus,5.0,,
,,,,jāja,22,,,škēpiem,0.0,,
,,,,jāja,22,,,šķēpus,2.0,,
,,,,jāja,22,,,,,,
,,,,jāja,22,,,,,,
,,,,jāja,22,,,,,,
,,,,jāja,22,,,,,,
,,,,jājiens,2,,,,,,
,,,,jājienu,3,,,,,,
,,,,jājienu,3,,,,,,
,,,,jājienā,0,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājot,5,,,,,,
,,,,jājuši,1,,,,,,
,,,,jājā,2,,,,,,
,,,,jās,414,,,,,,
,,,,jās,414,,,,,,
,,,,jāt,24,,,,,,
,,,,jāt,24,,,,,,
,,,,jāt,24,,,,,,
,,,,jāt,24,,,,,,
,,,,jāt,24,,,,,,
,,,,jāt,24,,,,,,
,,,,jāt,24,,,,,,
,,,,jāt,24,,,,,,
,,,,jāšus,2,,,,,,
,,,,kumeļam,3,,,,,,
,,,,kumeļus,0,,,,,,
,,,,kumēļi,0,,,,,,
,,,,laivā,12,,,,,,
,,,,laivām,7,,,,,,
,,,,laivās,2,,,,,,
,,,,pajūgi,1,,,,,,
,,,,ragavās,3,,,,,,
,,,,ratus,4,,,,,,
,,,,vezumi,5,,,,,,
,,,,zirga,28,,,,,,
,,,,zirga,28,,,,,,
,,,,zirga,28,,,,,,
,,,,zirga,28,,,,,,
,,,,zirgam,8,,,,,,
,,,,zirgam,8,,,,,,
,,,,zirgam,8,,,,,,
,,,,zirgam,8,,,,,,
,,,,zirgi,30,,,,,,
,,,,zirgs,17,,,,,,
,,,,zirgs,17,,,,,,
,,,,zirgs,17,,,,,,
,,,,zirgs,17,,,,,,
,,,,zirgu,51,,,,,,
,,,,zirgu,51,,,,,,
,,,,zirgu,51,,,,,,
,,,,zirgā,10,,,,,,
,,,,zirgā,10,,,,,,
,,,,zirgā,10,,,,,,
