consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
automašīna,0.0,automobilis,2.0,automobili,5.0,automobili,5.0,Mitropas vagons,1,automašīnu,0.0
automobilis,2.0,ceļa mašīna,0.0,automobili,5.0,automobili,5.0,Tautas savienības automobilis,0,vilcienu,7.0
ešalons,0.0,dzelzceļš,0.0,automobili,5.0,automobili,5.0,aeroplanu,0,,
guļamvagons,0.0,ešalons,0.0,automobilī,4.0,automobili,5.0,aeroplānu,0,,
limuzīns,5.0,guļamvagons,0.0,automobilī,4.0,automobili,5.0,auto,21,,
vagons,2.0,kuģis,1.0,automobiļi,2.0,automobili,5.0,auto,21,,
vilciens,5.0,limuzīns,5.0,automobiļi,2.0,automobilī,4.0,auto,21,,
,,traktors,0.0,ešaloniem,3.0,automobilī,4.0,auto,21,,
,,tramvajs,0.0,ešaloniem,3.0,automobilī,4.0,auto ceļš,0,,
,,vagonu,9.0,ešalonu,12.0,automobilī,4.0,auto stūrētājs,0,,
,,vilciens,5.0,ešalonus,3.0,automobilī,4.0,auto šoseja,0,,
,,šosejas,1.0,guļamvagonā,4.0,automobilī,4.0,autoceļam,0,,
,,,,lidmašīnā,6.0,automobiļa,1.0,autoceļu,0,,
,,,,lidmašīnā,6.0,automobiļi,2.0,automašīnu,0,,
,,,,limuzīnam,3.0,automobiļi,2.0,automobili,5,,
,,,,limuzīns,5.0,automobiļi,2.0,automobili,5,,
,,,,traktori,1.0,automobiļu,2.0,automobili,5,,
,,,,vagoniem,2.0,dzelzceļa,15.0,automobili,5,,
,,,,vagoniem,2.0,dzelzceļa,15.0,automobili,5,,
,,,,vagonā,14.0,dzelzceļa stigas,2.0,automobili,5,,
,,,,vagonā,14.0,dzelzceļiem,2.0,automobili,5,,
,,,,vilciens,5.0,ešaloniem,3.0,automobilis,2,,
,,,,vilcienā,3.0,ešaloniem,3.0,automobiļi,2,,
,,,,vilcienā,3.0,ešaloniem,3.0,automobiļi,2,,
,,,,vilcienā,3.0,ešaloniem,3.0,automāšinām,0,,
,,,,ātrvilcienam,2.0,ešaloniem,3.0,būtu kāds satiksmes līdzeklis,0,,
,,,,ātrvilcienam,2.0,ešalonu,12.0,ceļa,30,,
,,,,,,ešalonu,12.0,dzelzceļa krustojumu,0,,
,,,,,,ešalonus,3.0,dzelzceļa ratiem,0,,
,,,,,,guļamvagonā,4.0,dzelzceļa viadukts,0,,
,,,,,,guļamvagonā,4.0,dzelzceļiem,2,,
,,,,,,guļamvagonā,4.0,dzelzceļiem,2,,
,,,,,,guļamvagonā,4.0,dzelzceļiem,2,,
,,,,,,kupejā,5.0,dzelzceļiem,2,,
,,,,,,ledusvāģu,1.0,dzelzceļu līnijām,0,,
,,,,,,lidmašīnas,4.0,ekskursanti,0,,
,,,,,,lidmašīnā,6.0,ekstrātelegrammas,1,,
,,,,,,lidmašīnā,6.0,ešaloniem būtu,1,,
,,,,,,lidmašīnā,6.0,ešalonu,12,,
,,,,,,lidmašīnā,6.0,guļamvagonā,4,,
,,,,,,lidmašīnā,6.0,gājējus,0,,
,,,,,,lidmašīnā,6.0,iekšpusi,0,,
,,,,,,limuzīns,5.0,ielu,23,,
,,,,,,limuzīns,5.0,izcelšanās uz ielas,0,,
,,,,,,limuzīnā,4.0,kuģa trumā,1,,
,,,,,,limuzīnā,4.0,kuģi,8,,
,,,,,,limuzīnā,4.0,kuģiem,3,,
,,,,,,limuzīnā,4.0,kuģiem,3,,
,,,,,,limuzīnā,4.0,kuģu,7,,
,,,,,,trakti,2.0,kuģu būvētāji,0,,
,,,,,,traktori,1.0,kājs,0,,
,,,,,,tramvaja vagonu,1.0,kājām,4,,
,,,,,,vagoniem,2.0,ledusvāģu,1,,
,,,,,,vagoniem,2.0,lidaparātam,0,,
,,,,,,vagoniem,2.0,lidmašīnai,0,,
,,,,,,vagoniem,2.0,lidmašīnas,4,,
,,,,,,vagoniem,2.0,lidmašīnas lidlauku,0,,
,,,,,,vagoniem,2.0,lidmašīnu,3,,
,,,,,,vagoniem,2.0,lidmašīnu,3,,
,,,,,,vagonā,14.0,lidmašīnā,6,,
,,,,,,vagonā,14.0,lidmašīnā,6,,
,,,,,,vagonā,14.0,limuzīns,5,,
,,,,,,vagonā,14.0,limuzīns,5,,
,,,,,,vagonā,14.0,limuzīns,5,,
,,,,,,vagonā,14.0,limuzīnu,3,,
,,,,,,vagonā,14.0,lokomotīves,0,,
,,,,,,vagonā,14.0,līdzīgo ērtumus,0,,
,,,,,,vagonā,14.0,mašīnu,13,,
,,,,,,vilciena,7.0,mašīnu,13,,
,,,,,,vilcienam,4.0,nodibināties jaunai valstij,0,,
,,,,,,vilciens,5.0,pašgājēji,0,,
,,,,,,vilcienā,3.0,plakāti norādīja uz,0,,
,,,,,,vilcienā,3.0,pārsēdēties uz,0,,
,,,,,,vilcienā,3.0,pārvadu,0,,
,,,,,,vilcienā,3.0,pārvadu,0,,
,,,,,,ātrvilcienam,2.0,satiksmes komisāru,1,,
,,,,,,ātrvilcienam,2.0,satiksmes līzekļu,0,,
,,,,,,ātrvilcienā,0.0,slēgtās kazarmās,0,,
,,,,,,,,smagiem dzelzceļa,0,,
,,,,,,,,tilta galā,0,,
,,,,,,,,tramvaja,1,,
,,,,,,,,tramvajam,0,,
,,,,,,,,tramvajam,0,,
,,,,,,,,tramvajiem,0,,
,,,,,,,,tramvajiem,0,,
,,,,,,,,transports,1,,
,,,,,,,,tranzits,2,,
,,,,,,,,trolejbuss,0,,
,,,,,,,,trolejbuss,0,,
,,,,,,,,trolejbuss,0,,
,,,,,,,,trolejbuss,0,,
,,,,,,,,tūristu autobusu,0,,
,,,,,,,,uzsākt savas gaitas,0,,
,,,,,,,,uzņēmumiem,2,,
,,,,,,,,vagona,13,,
,,,,,,,,vagoni,4,,
,,,,,,,,vagoniem,2,,
,,,,,,,,vagons,2,,
,,,,,,,,vagonu,9,,
,,,,,,,,vagonu,9,,
,,,,,,,,vagonā,14,,
,,,,,,,,velkamas dzelzceļa stigas,1,,
,,,,,,,,velosipēdiem,0,,
,,,,,,,,velosipēdu,0,,
,,,,,,,,vilciena iekārtas,0,,
,,,,,,,,vilciena iekārtu,0,,
,,,,,,,,vilciena iekārtā,0,,
,,,,,,,,vilciens,5,,
,,,,,,,,vilcienu,7,,
,,,,,,,,vilcienu,7,,
,,,,,,,,vilcienu,7,,
,,,,,,,,vilcienu,7,,
,,,,,,,,vilcienu,7,,
,,,,,,,,vilcienā,3,,
,,,,,,,,vāģiem,0,,
,,,,,,,,ātrvilcienu,4,,
,,,,,,,,ātrvilcienu,4,,
,,,,,,,,šosejas,1,,
,,,,,,,,ūdensceļiem,3,,
