consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
afişam,0,auto,34.0,auto,34.0,auto,34.0,Pūļa elks,2.0,Pūļa transports:,0.0
auto,34,mašīna,0.0,autobuss,3.0,autotakši,1.0,,,,
automobili,0,mašīnas,0.0,autotakši,1.0,mašīna,0.0,,,,
autotaksi,0,riteņi,0.0,jachta,9.0,simuzini,1.0,,,,
celš,7,skrejceļš,0.0,laivas,8.0,tramvaji,0.0,,,,
ceļojoša balva,0,tramvajs,3.0,mašīna,0.0,velosipedi,1.0,,,,
cīņu,0,vagonu,0.0,simuzini,1.0,vilciens,6.0,,,,
elkoja,0,vilciens,6.0,tramvaji,0.0,,,,,,
gargabalu skrējejiem,0,,,velosipēds,0.0,,,,,,
mašīnas,0,,,vilciens,6.0,,,,,,
mešanas,0,,,,,,,,,,
rati,18,,,,,,,,,,
skrejceļa,0,,,,,,,,,,
skrejceļam,0,,,,,,,,,,
skrejceļš,0,,,,,,,,,,
skrejceļš,0,,,,,,,,,,
skrējiens,9,,,,,,,,,,
skrējienā,6,,,,,,,,,,
skrējienā,6,,,,,,,,,,
skrējienā,6,,,,,,,,,,
skrējienā,6,,,,,,,,,,
skrējienā,6,,,,,,,,,,
skrējējiem,0,,,,,,,,,,
sprints,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stadions,2,,,,,,,,,,
stāvietam,0,,,,,,,,,,
uzvaru,20,,,,,,,,,,
uzvaru,20,,,,,,,,,,
vagonu,0,,,,,,,,,,
vilciens,6,,,,,,,,,,
zprinteriem,1,,,,,,,,,,
