consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
- lidmašīnā,0.0,auto,11.0,auto,11.0,auto,11.0,akcija,1,Sanktpēterburgas,0.0
divriteni,1.0,automobilis,0.0,automobilī,1.0,automobiļa,0.0,auto,11,automašīnu,0.0
kabriolets,0.0,automobiļi,0.0,bruņotie auto,0.0,jachta,36.0,auto,11,bruņotie auto,0.0
limuzins,0.0,ceļakāja,0.0,dzina,12.0,laiva,24.0,auto,11,divriteni,1.0
mašīna,3.0,divriteņi,0.0,lauki lielgabali,0.0,lauka lielgabalus,0.0,auto,11,kareivji,10.0
motorlaiva,11.0,jachta,36.0,lidmašīnā,2.0,limuzini,1.0,bruņotie auto,0,kazāku nagaikas,1.0
pajūgs,0.0,pērļu vilciens,0.0,ratu,11.0,motorlaiva,11.0,divriteni,1,laukā lielgabalus,0.0
šinšilas,0.0,slieķu jūgs,0.0,taksometrī,1.0,rati,8.0,divriteni,1,lielgabalu,2.0
,,slieķu pārvads,0.0,tramvaja,1.0,ratus,6.0,durkļi,2,nagaikas,1.0
,,sānslīde,0.0,vezuma,0.0,taksometrī,1.0,jachta,36,nāves limuzini,1.0
,,takši,0.0,viegli lauku lielgabalus,0.0,vezu,2.0,jachtas,22,obijekta,1.0
,,tramvajs,0.0,viegls,1.0,,,kanonādes,2,rati,8.0
,,tramvajs,0.0,vācu vezumnieku rati,0.0,,,laivā,4,ratu,11.0
,,velosipēds,0.0,ātrvilcienā,1.0,,,lidmašīnā,2,tramvajiem,0.0
,,,,,,,,lodes,1,trotuāriem,1.0
,,,,,,,,motorlaiva,11,velosipēdu,0.0
,,,,,,,,nāves limuzini,1,vezumos,1.0
,,,,,,,,rati,8,vezums,0.0
,,,,,,,,rati,8,,
,,,,,,,,taksometrī,1,,
,,,,,,,,takša,0,,
,,,,,,,,vezumnieku,1,,
,,,,,,,,vezumnieku rati,0,,
,,,,,,,,vezumos,1,,
,,,,,,,,vieglus lauku lielgabalus,1,,
,,,,,,,,šauteņu resgaļi,1,,
