consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
arkls,0,Melnis,10.0,armijas,1.0,arkls,0.0,Sirmja,7.0,goda ratos,2.0
armijas zaldātiem,0,aklas,1.0,kamanas,2.0,auto,14.0,autos,3.0,kamanas,2.0
autobus,1,auto,14.0,pajāgs,0.0,ecēšas,0.0,olnīcu,13.0,kamani,0.0
bedrēm,1,"autoceļiem,",0.0,pajūgs,0.0,kamanas,2.0,pagalma,31.0,pajūgam,1.0
bērna ratiņi,0,dienestgai-las,1.0,rati,42.0,kamanas,2.0,pajūgam,1.0,ratos,31.0
bērza stumbram,2,"drezīnām,",0.0,,,kamanu ceļš,2.0,ratos,31.0,ratos,31.0
dienestgai-las,1,grožus,11.0,,,pajūgs,0.0,ratos,31.0,ratos,31.0
dragūnu eskadrona,2,kažociņu,3.0,,,rati,42.0,vezumus,2.0,rikšos,2.0
frontēm,0,radošiem,0.0,,,rats,0.0,vieglajos ratos,1.0,važonis,1.0
kamanu ceļu,0,"ratniem,",0.0,,,velosipēds,0.0,vieglajos ratos,1.0,vezumus,2.0
kara rati,2,"ratniem,",0.0,,,vezumam,1.0,,,vieglajos ratos,1.0
karavīriem,5,ratnīcas,6.0,,,vieglajie rati,0.0,,,vieglajos ratos,1.0
kaujas ratiem,0,ratot,0.0,,,,,,,vieglajos ratos,1.0
klēts durvīm,2,ratus,10.0,,,,,,,vieglajos ratos,1.0
lauksaimnieku ratiem,0,"vagonu rindiem,",0.0,,,,,,,vieglajos ratos,1.0
lielceļu,12,vilcieniem,2.0,,,,,,,zirgam,5.0
lielceļš,1,"vilcieniem,",1.0,,,,,,,,
liepu kuplumā,0,"vāgoniem,",0.0,,,,,,,,
munīcijas vilcienam,0,,,,,,,,,,
ormanis,0,,,,,,,,,,
pagastskola,2,,,,,,,,,,
patrulēt,2,,,,,,,,,,
pieguļā,1,,,,,,,,,,
rati,42,,,,,,,,,,
ratiņi,1,,,,,,,,,,
ratnīca,6,,,,,,,,,,
ratnīcas darbi,0,,,,,,,,,,
satiksmes līdzekļi,0,,,,,,,,,,
smago ratu kulba,0,,,,,,,,,,
svešzemju zirgi,0,,,,,,,,,,
vētru brāzieni,1,,,,,,,,,,
zirgs,10,,,,,,,,,,
zirgu ratiem,0,,,,,,,,,,
šofera vietu,0,,,,,,,,,,
