consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt,count,consolidated_2025_02_26_openai_gpt-4o-2024-11-20_land_prompt_2,count,2025_02_26_google_gemini-flash-1.5_land_prompt_1,count,2025_02_26_google_gemini-flash-1.5_land_prompt_2,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt,count,2025_02_27_google_gemini-2.0-flash-001_land_prompt_2,count
mašīna,0.0,alejas ceļš,0,auto,2.0,auto,2.0,dzelzsceļā,1.0,autobuss,0.0
revolvers,0.0,bulvāri,0,kamanas,1.0,kamanas,1.0,lode,5.0,dzelzsceļš,0.0
vilciens,0.0,divani,0,mašinu,2.0,važoņi,0.0,mašinu,2.0,kamaniņas,0.0
,,dzelzsceļš,0,važoņi,0.0,vilcienu,4.0,motoru,3.0,motocikls,0.0
,,dārzu,0,vilcienu,4.0,,,namu,5.0,tramvajs,1.0
,,golgatas,0,,,,,revolveru,1.0,važa,0.0
,,ielas,19,,,,,tramvajs,1.0,velosipēds,0.0
,,kušetēs,0,,,,,trepem,6.0,vilcieni,0.0
,,mašīna,0,,,,,važnoņos,0.0,zirgu pajūgi,0.0
,,mašīna,0,,,,,važoņu,0.0,,
,,plītnica,1,,,,,zelta,4.0,,
,,rati,19,,,,,zvērinata advokata palīga,1.0,,
,,restorāna apmeklētāja,0,,,,,,,,
,,restorāni,0,,,,,,,,
,,soli,30,,,,,,,,
,,soliņi,1,,,,,,,,
,,tramvajs,1,,,,,,,,
,,trepes,0,,,,,,,,
,,vietas,4,,,,,,,,
,,vilciens,0,,,,,,,,
,,vāžoni,0,,,,,,,,
