2025_02_28_google_gemini-flash-1.5_air_prompt,count
aeroplānu,0
auto,51
auto,51
auto,51
automobili,6
automobilis,4
automobilis,4
automobilī,6
automobilī,6
automobilī,6
automobilī,6
automobilī,6
automobiļa,4
automobiļa,4
automobiļa,4
automobiļi,2
automobiļiem,1
automobiļiem,1
automobiļu,7
divipajugi,1
federvāģos,1
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaiva,17
motorlaivas,9
motorlaivas,9
motorlaivas,9
motorlaivas,9
motorlaivas,9
motorlaivas,9
motorlaivu,5
motorlaivu,5
motorlaivu,5
ore,85
ore,85
ore,85
ores,11
ores,11
ores,11
ores,11
velosipedus,5
velosipēds,0
velosipēds,0
zirgelis,2
zirgelis,2
zirgeļi,1
zirgi,8
zirģeļi,1
