2025_02_28_google_gemini-flash-1.5_air_prompt,count
barkas „Vendas“,1
bruņots ar diviem ložmetejiem,1
burinieka „Adore“,0
burinieks,0
burinieks,0
burinieks,0
burinieks,0
burinieks,0
burinieks „Adore“,0
burinieks „Goodvind“,0
burinieks „Jdore“,0
burinieks „Venda“,0
burinieks „Zancta Maria“,0
burinieks „Zancta Maria“,0
burinieks „Zancta Maria“,0
džonka,17
džonka,17
džonka,17
džonka,17
džonka,17
džonka,17
džonka,17
džonkas,12
džonkas,12
džonkas,12
džonkas,12
džonkas,12
iznīcinātāji,0
jāhta,0
jāhta „Bridšet“,0
jūŗas jachta,0
kreiseri,2
laiva,215
laiva,215
laivas,99
laivas,99
laivu,67
laivu,67
laivu,67
laivā,39
laivā,39
laivā,39
laivā,39
laivā,39
motorlaiva,10
motorlaiva,10
tvaikonis,20
tvaikonis,20
tvaikonis,20
velkonis,2
zemūdenslaiva,87
zemūdenslaiva,87
zemūdenslaiva,87
zemūdenslaiva „U. 34“,0
zemūdenslaivas,46
šoneris „Bangpūtis“,1
šoneris „Pērkons“,0
