2025_02_28_google_gemini-flash-1.5_air_prompt,count
aviācija,36
aviācija,36
aviācijas,27
aviāciju,3
avārija,6
bumbvedēji,2
cepelīni,3
cepelīni,3
gaisa,33
izlūkošanas lidmašīna,2
iznīcinātāji,19
iznīcinātāji,19
iznīcinātāji,19
iznīcinātājs,15
iznīcinātāju,19
iznīcinātāju,19
iznīcinātāju,19
iznīcinātāju,19
iznīcinātāju,19
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīna,143
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnas,88
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnu,65
lidmašīnām,7
tanki,12
tanki,12
