2025_02_28_google_gemini-flash-1.5_air_prompt,count
```,0
dampis,0
ekipāža,16
ekipāža,16
ekipāža,16
ekipāža,16
ekipāža,16
ekipāžai,1
ekipāžas,7
ekipāžā,8
ekipāžā,8
ekipāžā,8
ekipāžām,1
ekipāžās,2
fūrmani,17
fūrmani,17
fūrmani,17
fūrmanim,2
fūrmanis,6
fūrmanis,6
fūrmanis,6
fūrmanī,6
fūrmanī,6
fūrmanī,6
fūrmanī,6
fūrmaņi,3
fūrmaņiem,3
fūrmaņiem,3
fūrmānī,0
fūrmāņi,0
fūrmāņi,0
fūrmāņiem,0
jājamā,4
jājamā,4
kamanas,2
kamanas,2
kamanas,2
kamanas,2
kamanās,1
kamanās,1
kamanās,1
kamanās,1
kamanās,1
kameņš,0
komeļu,0
komeļš,0
komeļš,0
krusti,10
kumeliņ,1
kumeļu,1
kumeļu,1
kumeļš,2
kumeļš,2
kāzinieku,7
lokomobile,0
losais,2
pajūga,0
pajūgiem,0
pajūgs,3
pajūgu,1
pajūgā,0
rata,113
ratiem,12
ratojot,1
ratos,13
ratu,52
ratu,52
ratu,52
ratus,11
ritenis,2
rīksšojot,0
stīmeru,1
tvaikoni,2
tvaikoni,2
tvaikonīši,1
vagoniem,5
vapenis,1
vellapēdas,0
vinniņiem,1
vāģi,2
vāģis,1
zirdziņam,1
zirdziņu,3
zirdziņš,1
zirdziņš,1
zirgi,43
zirgs,14
zirgu,62
šlemaņa,0
šlemeļi,0
štīmeris,0
štīmeru,0
štīmeŗi,0
šķimelis,1
