2025_02_28_google_gemini-flash-1.5_air_prompt,count
divriteni,2
divriteni,2
divriteni,2
kuģīšus,0
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivu,3
laivu,3
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lidmašīnas,9
lielā laivas,0
pajāji,0
pajūgi,5
plosts,2
plosts,2
plosts,2
velkoņi,2
velkoņi,2
velkoņi,2
velkoņi,2
