2025_02_28_google_gemini-flash-1.5_air_prompt,count
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
auto,18
jājamo zirgu,3
jājamo zirgu,3
lidmašīna,1
oris,3
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pajūgs,11
pusrati,10
pusrati,10
pusrati,10
pusrati,10
velosipēds,0
velosipēds,0
ērzeli,7
ērzeli,7
ērzeli,7
ērzeli,7
ērzeli,7
ērzeli,7
ērzeli,7
ērzeli,7
