2025_02_28_google_gemini-flash-1.5_air_prompt,count
kumeļi,22
kumeļi,22
kumeļi,22
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļiem,16
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļos,9
kumeļu,30
kumeļu,30
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
kumeļus,12
laivas,6
laivas,6
laiviņai,1
laivu,2
plostu,2
rumaku,8
vienkocis,2
vienkocis,2
vienkocī,1
vienkocī,1
vienkocī,1
vienkoči,2
vienkoči,2
vienkoči,2
