2025_02_28_google_gemini-flash-1.5_air_prompt,count
bruņoti jātnieki,0
huzāri,6
huzāri,6
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieki,22
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieks,12
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku,40
jātnieku pulciņš,1
jātnieku pulciņš,1
jātnieku pulki,0
jātnieku pulks,0
jātnieku pulks,0
jātnieku pulks,0
jātnieku pulks,0
jātnieku pulks,0
jātnieku pulks,0
jātnieku pulks,0
kamanas,2
ragavas,1
ragavas,1
ragavu rinda,1
zirgs,10
ziņnesis,3
