2025_02_28_google_gemini-flash-1.5_air_prompt,count
desantlaivas,1
kamanas,5
kamanas,5
kamanas,5
kamanas,5
kamanās,4
kameļā,0
kameļā,0
kumeļa,16
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļiem,11
kumeļos,8
kumeļu,38
kumeļu,38
kumeļu,38
kumeļu,38
kumeļu,38
kumeļu,38
kumeļus,19
kumeļus,19
kumeļus,19
kumeļus,19
kumeļus,19
kumeļus,19
kumeļus,19
kumeļus,19
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kumeļā,20
kuražā,4
kuražā,4
kuražā,4
kuražā,4
kuģi,14
kuģīšu,2
kājniekiem,8
kājnieku,27
laivu,15
laivā,15
laivās,6
rumaku,28
rumaku,28
rumaku,28
rumaku,28
rumaku,28
rumakā,9
sirmi,10
sirmīti,4
sirmīti,4
slēpes,0
vezumam,1
zirga,30
zirgiem,25
zirgiem,25
zirgiem,25
zirgiem,25
zirgiem,25
zirgos,8
zirgos,8
zirgos,8
zirgos,8
zirgos,8
zirgs,11
zirgs,11
zirgs,11
zirgs,11
zirgs,11
zirgs,11
zirgs,11
zirgs,11
zirgs,11
zirgs,11
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgu,87
zirgā,6
zirgā,6
zirgā,6
