2025_02_28_google_gemini-flash-1.5_air_prompt,count
Armijas spiestuve,1
briga,1
brigā,0
fregate,1
fregate,1
fregate,1
fregāte,15
fregāte,15
fregāte,15
fregātei,1
fregātei,1
fregātes,10
fregātes,10
fregāti,6
fregāti,6
korvete,1
kuģa «Krokodils»,1
kuģa «Walfisch»,1
kuģi,225
kuģi,225
kuģi,225
kuģiem,19
kuģiem,19
kuģis «Walfisch»,0
kuģu,36
laivas,29
laivas,29
laivas,29
laivas,29
laivas,29
laivas,29
laivas,29
laivas,29
laivas,29
laivu,13
laivu,13
laivu,13
laivā,46
laivā,46
laivā,46
laivā,46
laivā,46
laivā,46
laivā,46
laivā,46
laivās,24
laivās,24
laivās,24
laivās,24
laivās,24
laivās,24
laivās,24
laivās,24
laivās,24
