2025_02_28_google_gemini-flash-1.5_air_prompt,count
Vēju,13
Vēju,13
Vēju,13
Vēju,13
Vēju,13
kumeļam,3
kumēliņus,0
kumēliņus,0
kumēļus,0
kuģi,1
kuģi,1
laivā,12
laivā,12
laivā,12
laivām,7
laivām,7
laivās,2
laivās,2
pajāgi,0
ragavās,3
zirga,28
zirga,28
zirga,28
zirga,28
zirga,28
zirga,28
zirga,28
zirga,28
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgam,8
zirgi,30
zirgiem,22
zirgiem,22
zirgiem,22
zirgiem,22
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgs,17
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgu,51
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgus,18
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
zirgā,10
