2025_02_28_google_gemini-flash-1.5_air_prompt,count
automobili,5
automobili,5
automobilis,2
automobilī,4
automobilī,4
automobilī,4
automobiļa,1
automobiļa,1
automobiļa,1
automobiļa,1
automobiļa,1
automobiļi,2
automobiļi,2
automobiļiem,0
automobiļiem,0
automobiļu,2
automobiļu,2
ešalona,4
ešaloni,6
ešaloniem,3
ešaloniem,3
ešalonu,12
ešalonus,3
gaisa satiksme,1
kuģiem,3
kuģis,1
kuģu,7
kuģu,7
kuģus,3
lidmašīna,6
lidmašīna,6
lidmašīnas,4
lidmašīnas,4
lidmašīnas,4
lidmašīnas,4
lidmašīnas,4
lidmašīnas,4
lidmašīnas,4
lidmašīnas,4
lidmašīnas,4
lidmašīnu,3
lidmašīnu,3
lidmašīnu,3
lidmašīnā,6
lidmašīnā,6
lidmašīnā,6
lidmašīnā,6
tvaikoņi,2
tvaikoņi,2
vagona,13
vagona,13
vagoniem,2
vagoniem,2
vagoniem,2
vagoniem,2
vagonos,2
vagonos,2
vagons,2
vagonu,9
vagonu,9
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vagonā,14
vilciens,5
vilcienu,7
ātrvilcienam,2
ātrvilcienu,4
ātrvilcienu,4
