2025_02_28_google_gemini-flash-1.5_air_prompt,count
aeroplani,4
automobilis,10
automobilis,10
automobilis,10
automobiļi,12
automobiļi,12
automobiļi,12
automobiļi,12
automobiļi,12
automobiļi,12
bruņotais vilciens,0
bruņotie vilcieni,4
bruņotiem vilcieniem,2
hidroplani,1
kamanas,0
kuģis,5
kuģiši,5
lidmašina,28
lidmašina,28
lidmašina,28
lidmašina,28
lidmašina,28
lidmašina,28
lidmašinas,19
lidmašinas,19
lidmašinas,19
lidmašinas,19
lidmašinas,19
lidmašinas,19
lidmašinas,19
lidmašinā,2
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīna,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lidmašīnas,0
lielgabali,25
lielgabalu šāvieni,3
pajāgs,0
pasažieru kuģis,0
pasažieru kuģiši,2
pasažieru kuģiši,2
pasažieru kuģiši,2
specialā vilcienā,1
specialā vilcienā,1
transportkuģa,1
tvaikoņi,1
važons,1
