2025_02_28_google_gemini-flash-1.5_air_prompt,count
braukšus,11
eķipažas,9
eķipažā,10
eķipažā,10
jāšus,12
kaŗiete,79
kaŗiete,79
kaŗiete,79
kaŗiete,79
kaŗiete,79
kaŗiete,79
kaŗietei,19
kaŗietei,19
kaŗietei,19
kaŗieti,18
kaŗieti,18
kaŗietē,25
kaŗietē,25
kaŗietē,25
kaŗietē,25
kaŗietē,25
leišu kumeliņi,1
leišu razole,1
muižas aizdotu zirgu,1
muižas kučieri,1
pajūgu,19
pajūgu,19
pajūgu,19
puskaŗiete,16
puskaŗiete,16
puskaŗiete,16
puskaŗiete,16
puskaŗiete,16
puskaŗiete,16
puskaŗietei,8
puskaŗieti,4
puskaŗietē,7
puskaŗietē,7
puskaŗietē,7
pusratos,3
pusratos,3
razole,4
