2025_02_28_google_gemini-flash-1.5_air_prompt,count
angļu kuģa,2
barkas,2
barkas,2
beļģu kuģa,1
burinieka,2
buriniekiem,1
burinieks,0
burinieks,0
kuģa,116
kuģi,244
kuģi,244
kuģi,244
kuģi,244
kuģi,244
kuģiem,26
kuģim,27
kuģis,84
kuģis,84
kuģis,84
kuģis,84
kuģis,84
kuģis,84
kuģis,84
kuģis,84
kuģu,26
kuģu,26
kuģu,26
lopu kuģi,1
loča kuģītis,1
līnijniekiem,2
līnijniekiem,2
līnijniekiem,2
motorburinieki,1
nedēļnieki,3
nedēļniekiem,2
nedēļnieku,1
ogļu,42
ogļu,42
preču kuģis,1
preču kuģis,1
preču kuģis,1
tanku kuģis,1
tanku kuģis,1
transportu,1
transportu,1
transportu,1
tvaikoni,4
tvaikonis,1
tvaikonis,1
tvaikonis,1
tvaikonis,1
tvaikonīši,2
tvaikonīši,2
tvaikonīši,2
tvaikonīši,2
tvaikoņi,11
tvaikoņi,11
tvaikoņi,11
tvaikoņi,11
tvaikoņi,11
tvaikoņi,11
tvaikoņi,11
tvaikoņiem,2
tvaikoņiem,2
velkoņi,1
