2025_02_28_google_gemini-flash-1.5_air_prompt,count
aeroplāni,2
aeroplāni,2
aeroplāni,2
aeroplāni,2
automobiļi,3
automobiļiem,1
automobiļiem,1
barkas,7
barkas,7
burenieki,7
bureniekiem,3
bureniekiem,3
burenieku,6
cepelīns,1
cepelīnu,0
divmastu burenieku,1
ledlaužiem,1
ledlaužiem,1
lidmašīnas,3
lidmašīnas,3
lidmašīnas,3
lidmašīnu,1
lidmašīnu,1
lidoja,21
lidoja,21
motorbureniekos,1
motorlaiva,2
motorlaiva,2
motorlaiva,2
motorlaiva,2
motorlaivu,8
motorlaivu,8
motorlaivu,8
trīsmastnieku,1
trīsmastu burenieku,0
tvaikoni,29
tvaikoni,29
tvaikoni,29
tvaikoni,29
tvaikoni,29
tvaikoni,29
tvaikoņiem,8
tvaikoņiem,8
tvaikoņiem,8
tvaikoņiem,8
tvaikoņiem,8
tvaikoņiem,8
tvaikoņiem,8
tvaikoņiem,8
zemūdenei,2
zemūdenei,2
zemūdenes,8
zemūdenes,8
zemūdenes,8
zemūdenes,8
zemūdenēm,1
zemūdenēm,1
