2025_02_28_google_gemini-flash-1.5_air_prompt,count
Sirmja vilktajos ratos,1
Sirmja vilktajos ratos,1
Sirmja vilkti,1
Ziemsvētku kamanas,1
kamanu,2
kamanu ceļš,2
kamanām,2
kamanās,0
lielajos ratos,0
pajāgiem,0
pajūgiem,0
pajūgu rindām,1
ratiem,17
ratiem,17
ratiem,17
ratiem piesieto,1
ratiem pāri,0
ratu,30
ratu,30
ratu,30
ratu kulbas malas,1
ratu kulbas priekšā,0
ratu kulbā,3
ratu kulbā,3
ratu kulbā,3
ratu kulbā,3
ratu rindas galā,1
ratu riteņi,1
ratu riteņi,1
ratu rībēšana,2
ratu rībēšana,2
sēru ratu,1
vieglajiem ratos,0
vieglajos ratos,1
vieglajos ratos,1
vieglajos ratos,1
vieglajos ratos,1
vieglajos ratos,1
