2025_02_28_google_gemini-flash-1.5_air_prompt,count
bruņotais vilciens,4
bruņotais vilciens,4
bruņotais vilciens,4
bruņotie automobiļi,1
falkonetes,1
"kara kuģi: Dragon, Abdiel, Vindzor un Vanguisher",0
"kara kuģi: Lastin, Garnier, Marne un Aisne",0
kuģis,1
kuģītis,0
laivas,5
lidmašīnas,6
lidmašīnas,6
lidmašīnas,6
lidmašīnas,6
lielgabali,8
lielgabali,8
lielgabali,8
lielgabali,8
lielgabali,8
lokomotīve,0
motociklets ar blakusvāģi,0
mīnas,3
mīnas,3
mīnmetēji,0
mīnmetēji,0
mīnmetēji,0
plosts,1
tvaikonīši,0
velkonis,0
šrapneļi,1
šrapneļi,1
