2025_02_28_google_gemini-flash-1.5_air_prompt,count
kamanām,2
kamanās,4
kamanās,4
kamanās,4
kamanās,4
kamanās,4
kamanās,4
kuģis,4
kuģis,4
laivas,3
laivas,3
laiviņa,8
laiviņa,8
laiviņa,8
laiviņas,3
laivās,1
laivās,1
plosta,3
plostam,1
plostiem,2
plostu,2
plostu,2
vilciens,5
vilciens,5
vāģi,15
vāģišos,2
vāģišos,2
vāģišos,2
vāģišos,2
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
vāģos,14
