2025_02_28_google_gemini-flash-1.5_air_prompt,count
automobili,13
automobili,13
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobilis,8
automobiļa,3
automobiļa,3
automobiļa,3
automobiļa,3
automobiļi,3
automobiļu,2
automobiļu,2
automobiļu,2
kamanas,2
kamanas,2
kamanas,2
lokomotive,1
mašīna,14
ormaņi,3
pajūgs,1
pajūgs,1
vilciens,6
