2025_02_28_google_gemini-flash-1.5_air_prompt,count
kumele,0
kumeļa,13
kumeļa,13
kumeļa,13
kumeļa,13
kumeļa,13
kumeļa,13
kumeļa,13
kumeļa,13
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļam,6
kumeļi,5
kumeļi,5
kumeļi,5
kumeļi,5
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļiem,2
kumeļu,12
kumeļu,12
kumeļu,12
kumeļu,12
kumeļu,12
kumeļus,1
kumeļus,1
kumeļus,1
kumeļus,1
kumeļus,1
kumeļā,5
kumeļā,5
kumeļā,5
kumeļā,5
kumeļā,5
kumeļā,5
kumeļš,2
kumeļš,2
kumeļš,2
kumeļš,2
kumeļš,2
kumeļš,2
kumeļš,2
kumeļš,2
kuģos,1
laivas,1
vanagi,4
zirgi,29
