2025_02_28_google_gemini-flash-1.5_air_prompt,count
Tatār,38
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāra,4
Tatāram,1
Tatāram,1
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatārs,20
Tatāru,8
Tatāru,8
Tatāru,8
Tatāru,8
Tatāru,8
divklāji,2
fregātes,3
kumeļa,3
kumeļš,2
kumeļš,2
kuģa,1
kuģa,1
kuģi,9
kuģi,9
kuģi,9
kuģi,9
kuģi,9
kuģi,9
kuģis,1
kuģis,1
kuģis,1
kuģu,9
kuģī,1
laipas,2
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivu,10
laivu,10
laivā,10
laivā,10
laivā,10
laivā,10
laivā,10
laivā,10
laivā,10
laivām,3
laivām,3
lielgabali,11
liellaiva,8
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivas,6
liellaivā,5
liellaivām,3
pajūga,0
pajūgi,3
pajūgi,3
pajūgos,0
pajūgs,0
pajūgu,2
platdubas,2
platdubas,2
platdubas,2
platdubas,2
platdubas,2
zirdziņam,1
zirdziņiem,0
zirdziņus,1
zirdziņš,1
zirdziņš,1
zirga,7
zirgam,0
zirgiem,11
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgu,28
zirgu,28
zirgus,8
zirgus,8
zirgus,8
zirgā,6
