2025_02_28_google_gemini-flash-1.5_air_prompt,count
Jānis Kristītājs,1
Krokodīls,34
Krokodīls,34
Krokodīls,34
Krokodīls,34
Puķu Pods,1
fregate,5
korvetes tips,1
krasta braucējs,1
kuģinieks,4
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
laipu,3
laiva,34
laiva,34
laiva,34
laivas,21
laivu,39
laivu,39
laivu,39
laivu,39
laivu,39
vienmasta krastu braucējs,0
„Krokodīls”,25
„Krokodīls”,25
„Krokodīls”,25
„Krokodīls”,25
„Krokodīls”,25
„Lielā Kūrija”,0
„Vaizivi”,1
„Valzivs”,8
„Valzivs”,8
„Valzivs”,8
„Valzivs”,8
