2025_02_28_google_gemini-flash-1.5_air_prompt,count
aerodrednautu,2
aerodrednautus,1
aeroplana,1
aeroplana,1
aeroplani,7
aeroplans,3
aeroplans,3
aeroplans,3
aeroplanu,7
aeroplanu,7
aeroplanu,7
aerostatu,2
autogazomotori,1
autokords,1
gaisa,75
gaisa,75
gaisa,75
gaisa,75
gaisa,75
gaisa,75
gaisa,75
gaisa,75
gaisa,75
hidroaeroplanu,2
hidroaeroplanu,2
hidroplanu,1
hidroplanu,1
hidroplanu,1
hidroplānu,1
hidroplānu,1
hidroplānu,1
hidroplānu,1
hidroplānu,1
hidroplānu,1
lidaparāta,0
lidaparāta,0
lidaparāti,2
lidaparātiem,1
lidaparātiem,1
lidaparātiem,1
lidaparātiem,1
lidaparāts,1
lidaparāts,1
lidaparātu,0
lidaparātu,0
lidaparātu,0
lidaparātu,0
lidaparātu,0
lidaparātu,0
lidaparātu,0
lidaparātu,0
lidaparātu,0
lidaparātus,0
lidaparātus,0
lidmašina,91
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinas,76
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašinā,29
lidmašinām,19
lidmašinām,19
lidmašinām,19
lidmašīna,23
lidmašīna,23
lidmašīna,23
lidmašīnai,0
lidmašīnai,0
lidmašīnai,0
lidmašīnai,0
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnā,9
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīnām,6
lidmašīņu,0
lidotāju,18
mašinas,142
