2025_02_28_google_gemini-flash-1.5_air_prompt,count
kuģa,44
kuģa,44
kuģa,44
kuģa,44
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģi,45
kuģiem,13
kuģiem,13
kuģiem,13
kuģiem,13
kuģis,8
kuģis,8
kuģis,8
kuģos,6
kuģos,6
kuģos,6
kuģu,18
kuģu,18
laiva,18
laiva,18
laiva,18
laivas,11
laivas,11
laivas,11
laivas,11
laivas,11
laivas,11
laivas,11
laivas,11
laivas,11
laivas,11
laivas,11
laivu,8
laivu,8
laivu,8
laivā,9
laivā,9
laivā,9
laivā,9
laivām,4
laivām,4
plosti,30
plosti,30
plosti,30
plosti,30
plosti,30
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostiem,19
plostu,66
plostu,66
plostu,66
plostu,66
plostu,66
plostu,66
plostu,66
plostu,66
plostus,27
plostus,27
plostus,27
