2025_02_28_google_gemini-flash-1.5_air_prompt,count
autobusu,1
autobusā,1
autobusā,1
bruņu kreiserim,1
jachtas,2
jachtas,2
kuģī,2
laivas,14
laivas,14
laivas,14
laivas,14
laivas,14
laivu,13
laivu,13
laivu,13
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
laivā,30
limuzina,9
limuzins,2
velci,2
vilcienā,3
vilcienā,3
vilcienā,3
