2025_02_28_google_gemini-flash-1.5_air_prompt,count
barkasi,2
barkasi,2
buras,3
ekipažas,1
faetonā,1
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģa,33
kuģi,22
kuģi,22
kuģi,22
kuģi,22
kuģi,22
kuģi,22
kuģi,22
kuģim,4
kuģim,4
kuģis,5
kuģu,1
kuģu,1
kuģī,1
kuģī,1
lidoja,1
mašinas,4
motorlaivas,2
motorlaivas,2
peldu vietas,1
ratiem,1
tvaikoni,9
tvaikoni,9
tvaikonis,5
tvaikonis,5
tvaikonis,5
tvaikoņi,1
tvaikoņi,1
tvaikoņi,1
tvaikoņi,1
tvaikoņi,1
tvaikoņi,1
tvaikoņi,1
tvaikoņi,1
tvaikoņi,1
vagona,3
vagona,3
vezumam,0
vezumnieki,1
zvejnieku laivas,2
