2025_02_28_google_gemini-flash-1.5_air_prompt,count
lidmašinām,1
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīnai,2
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnu,11
lidmašīnu,11
lidmašīnu,11
lidmašīnu,11
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnām,0
