2025_02_28_google_gemini-flash-1.5_air_prompt,count
Pāles draudzes szkola,1
aiŗi,2
droškas,1
durvim,23
gliemeži,2
gliemji,1
gārņu,1
kalešu,1
klavieres,1
kučiera,7
kučiera,7
kuģis,1
laivas,2
laivas,2
laivas,2
lopmeitas,1
lāpstu,0
lēpas,3
makšķeres,2
mucām,1
mucām,1
mugurā,12
orē,5
orē,5
plostu,2
plānvāģiem,4
plānvāģos,1
pīlens,2
pūcenus,2
rateļus,2
rateļus,2
ratiem,13
riteņiem,1
rubenis,3
rīksti,0
rīkstiem,0
siles,1
spāres,1
vanadziņi,1
vanags,4
vardes,9
vilciņš,1
vālodze,1
vēji,2
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgi,13
zirgiem,8
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgs,12
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
zirgu,20
