2025_02_28_google_gemini-flash-1.5_air_prompt,count
Liellaivas,1
Rūriks,1
Rūriku,2
Rūriku,2
aeroplāns,1
auto,1
bruņu kuģi,1
bumbas,1
jātnieku,7
kaŗakuģus,1
krievu floti,1
krievu floti,1
krievu kuģi,1
krievu kuģi,1
kuģīša,1
kuģīša,1
lielgabala,2
lielgabala,2
lielgabalu,11
lielgabalus,1
liellaivas,1
ložmetējs,5
ostas velkoni,1
prāmjiem,2
prāmjiem,2
sanitārs,1
velkoni,2
velkonis,1
velkoņi,2
velkoņi,2
velkoņiem,1
velkoņiem,1
vilcienu,2
vilcienu,2
vācu aeroplāns,1
vācu flote,0
vācu kuģus,1
šaursliežu dzelzceļu,1
