2025_02_28_google_gemini-flash-1.5_air_prompt,count
Amerikaņu kuģa „Biksburg”,0
Amerikaņu „Viksburg”,0
Angļu kuģa „Talbot”,0
Angļu „Talbot”,0
Francužu „Paskal”,0
Italiešu „Elba”,0
Japaņu,124
Japaņu,124
Japaņu,124
Japaņu,124
Japaņu,124
Japaņu kreiseriem,0
Japaņu kugi,1
Japaņu kuģi,4
Japaņu mīnu kuģiem,0
Japaņu mīnu kuģiem,0
Japaņu mīnu kuģus,1
bruņotā kreisera „Vaŗaga”,0
bruņu kaujas kuģiem,1
bruņu kreisera „Vaŗaga”,0
bruņu kreisera „Vaŗaga”,0
bruņu kreiseram „Vaŗagam”,0
bruņu kreiseram „Vaŗagam”,0
bruņu kreiseri „Vaŗagam”,0
bruņu kuga „Idzumo”,0
bruņu kugiem,1
bruņu kugiem,1
bruņu kuģgi „Cesarevitž”,0
bruņu kuģi,9
bruņu kuģi „Cesarevitž”,0
bruņu kuģi „Jakums”,0
bruņu kuģi „Petropavlovsk”,0
bruņu kuģi „Čiroze”,0
bruņu kuģiem,4
bruņu kuģiem,4
bruņu kuģiem,4
bruņu kuģiem,4
bruņu kuģiem,4
bruņu kuģiem,4
bruņu kuģiem,4
bruņu kuģiem „Cezareviča”,0
bruņu kuģis „Petropavlovsk”,0
bruņu kuģis „Poltava”,0
bruņu mīņu,1
flagu kuģis „Mikado”,0
glābšanas laivas,1
kaŗa kugiem,3
kaŗa kugu,1
kaŗa kuģi,7
kaŗa kuģiem,3
kaŗa kuģiem,3
kaŗa kuģis,2
kreisera „Palada”,0
kreisera „Palada”,0
kreiseri,14
kreiseri,14
kreiseri,14
kreiseri „Askold”,0
kreiseri „Bojarin”,0
kreiseri „Diana”,0
kreiseri „Vaŗags”,0
kreiseriem,5
kreiseriem,5
kreiseriem,5
kreiseriem,5
kreiseriem,5
kreiseriem „Asama”,0
kreisers „Pallada”,0
kreisers „Pallada”,0
krievu kuģi,0
kuģi „Kvatžima”,0
kuģiem,26
laivas,17
laivas,17
laivas (Džonkas),1
laivas (Sampana),1
licejiem,1
lielgabali,10
lielgabali,10
lielgaballaiva „Korejec”,0
lielgaballaivai „Korejecam”,0
lielgabalu,10
lielgabalu,10
lielgabalu,10
lielgabalu,10
lielgabalu,10
lielgabalu,10
lielgabalu,10
lielgabalu laivu „Korejecu”,0
liniju kuģi „Azaši”,0
mīnu kuģi,8
mīnu kuģi „Strašniju”,0
mīnu kuģi „Strašniju”,0
mīnu kuģi „Strašniju”,0
mīnu kuģi „Strašnij”,0
mīnu kuģiem,3
mīnu kuģiem,3
mīnu kuģiem,3
mīnu kuģiem,3
mīnu kuģiem,3
mīnu kuģiem,3
mīnu kuģiem,3
mīnu kuģiem,3
mīnu kuģim,0
mīnu kuģus,3
mīnu kuģus,3
mūsu mīnu kuģi,2
torpedas,1
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas,9
torpedu laivas „Vņimateļnij”,0
torpedu laivu,3
torpedu laivu,3
torpedu laivu,3
torpedu laivu,3
torpedu laivu,3
torpedu laivām,1
torpedu laivām,1
torpedu laivām,1
torpedu laivām,1
torpedu laivām,1
torpedu laivām,1
transporta kuģis „Angora”,0
transportā,0
tvaikonis,5
tvaikonis,5
„Akažai”,0
„Askold”,0
„Askoļd”,0
„Azama”,0
„Bajans”,0
„Bajans”,0
„Bajans”,0
„Bajans”,0
„Bajans”,0
„Bajan”,0
„Bazjäštšij”,0
„Bezstrašnij”,0
„Bojevoi”,0
„Diana”,0
„Diana”,0
„Fudži”,0
„Grozovoi”,0
„Jvate”,0
„Kasagi”,0
„Korejecs”,0
„Mikasa”,0
„Naniva” „Takačimo”,0
„Novik”,0
„Novik”,0
„Novik”,0
„Peresvet”,0
„Peresvet”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovska”,0
„Petropavlovsks”,0
„Petropavlovsks”,0
„Petropavlovsks”,0
„Petropavlovsk”,0
„Pobeda”,0
„Pobeda”,0
„Poltava”,0
„Poltava”,0
„Retvizana”,0
„Retvizan”,0
„Retvizan”,0
„Rešitelnij”,0
„Serditij”,0
„Sevastopoļ”,0
„Sevastopoļ”,0
„Silnij”,0
„Smelijs”,0
„Smelij”,0
„Smielij”,0
„Stereguščij”,0
„Storoževoi”,0
„Strašnijs”,0
„Strašniju”,0
„Tabuna”,0
„Takasgo”,0
„Tošino”,0
„Vaŗags”,0
„Vinosļivij”,0
„Vlastnij”,0
„Vnušiteļnij”,0
„Čioda”,0
„Ēatsuse”,0
„Žikižima”,0
