2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
auto,30
auto,30
automobilī,1
automobilī,1
automobiļa,1
automobiļa,1
automobiļi,2
automobiļiem,2
automobiļiem,2
jachtā,1
jachtā,1
jūrmalas,2
kuģa,4
kuģa,4
kuģa,4
kuģi,2
kuģi,2
kuģis,0
kuģītī,1
kuļmašīnas,1
laimā,0
laiva,8
laivas,4
laivas,4
laivas,4
laivas,4
laivas,4
laivu,5
laivu,5
laivu,5
laivu,5
laivu,5
laivu,5
laivā,5
laivā,5
laivā,5
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
mašīna,43
rata,6
rati,23
rati,23
tvaikonis,3
tvaikonis,3
vezumi,2
vezumi,2
vezums,2
zēģeļlaivu,1
