2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
kuģīšu,1
kuģīšus,0
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivas,10
laivu,3
laivu,3
laivā,11
laivā,11
laivā,11
laivā,11
laivā,11
laivā,11
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
laivās,7
liel laivas,0
pajā,0
pajā,0
plosts,2
satiksmes līdzekļu,1
satiksmes līdzekļu,1
velkoņi,2
velkoņi,2
vezumam,0
