2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
fregates,1
fregates,1
fregātu,0
galeoni,2
galeoni,2
galeoniem,1
galera,6
galeras,6
galeras,6
galeras,6
galeras,6
galeras,6
galeras,6
galeras,6
galeras,6
gondola,1
gondoljers,0
gondoljēru,1
gondolu,1
gondolā,4
gondolā,4
gondolās,2
gondolās,2
kuģa,3
kuģi,19
kuģi,19
kuģi,19
kuģi,19
kuģi,19
kuģi,19
kuģi,19
kuģi,19
kuģiem,4
kuģis,4
kuģis,4
kuģis,4
kuģis,4
kuģis,4
kuģos,3
kuģu,17
laivas,9
laivas,9
laivas,9
laivas,9
laivas,9
laivas,9
laivu,5
lajpa,0
pajūgi,1
transportlaivas,1
transportlaivas,1
