2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
hidroplans,2
kuģi,19
kuģi,19
kuģi,19
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
kuģis,8
laiva,17
laiva,17
laiva,17
laivas,9
laivas,9
laivas,9
laivas,9
laivas,9
laivas,9
laivas,9
laivas,9
laiviniekam,1
laiviniekam,1
laivinieki,4
laivinieki,4
laivu,12
laivu,12
laivu,12
laivu,12
laivu,12
laivu,12
laivu,12
laivu,12
laivu,12
laivā,18
laivā,18
laivā,18
laivā,18
laivā,18
laivā,18
laivā,18
laivā,18
motorlaivā,1
tvaikonim,2
tvaikonis,7
tvaikonis,7
tvaikonis,7
tvaikonis,7
tvaikonis,7
tvaikoņa,4
tvaikoņu,2
tvaikoņu,2
zemūdenes,1
