2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
auto,29
automobiļa,0
automobiļa,0
automobiļa,0
autotaksis,2
autotaksis,2
autotaksis,2
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jachta,22
jūrmala,0
jūrmala,0
jūrmala,0
jūrmala,0
kuteris,0
kuģiem,0
tvaikonis,2
tvaikonis,2
tvaikoņi,1
tvaikoņiem,1
tvaikoņiem,1
tvaikoņis,0
vāģis,1
vāģī,1
vāģī,1
vāģī,1
