2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
laiva,57
laiva,57
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laivas,34
laiviņu,16
laiviņā,5
laiviņā,5
laiviņā,5
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivu,26
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
laivā,21
lielaiva,0
liellaiva,13
liellaiva,13
liellaivas,9
liellaivas,9
liellaivas,9
liellaivu,5
liellaivu,5
liellaivu,5
liellaivā,5
pils,118
čoliņu,2
