2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
gliemežu laivas,0
gliemežu laivas,0
jachtās,0
jachtās,0
jachtās,0
jūras laivas,0
kustību kuģis,0
kuteris,2
kuģi,244
kuģis,84
kuģis,84
kuģis,84
kuģis,84
kuģis,84
laivas,6
laivas,6
liellaivas,1
lopu kuģi,1
lopu kuģi,1
loču kuteris,0
motorburinieki,1
motorburinieki,1
nedēļnieki,3
pasažierkuģis,0
preču kuģis,1
preču kuģis,1
preču kuģis,1
preču kuģis,1
preču kuģis,1
tanku kuģis,1
tanku kuģis,1
transportu,1
transportu,1
tvaikonis,1
tvaikoņi,11
tvaikoņi,11
tvaikoņi,11
veci nederīgi tvaikoņi,0
velkoņi,1
velkoņi,1
zvejas laivas,0
zvejas laivas,0
