2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
burenieku,4
burienēm,0
buru,3
buru kuģi,2
galateja,7
galateja,7
galateja,7
galateja,7
jachta,3
jachta,3
jachtā,0
jachtām,0
jachtām,0
jūrā,37
kuģa,125
kuģa,125
kuģa,125
kuģa,125
kuģa,125
kuģa,125
kuģa,125
kuģa,125
kuģelis,0
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģi,185
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģiem,44
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis,34
kuģis „Gaita”,0
kuģis „Iron Castle”,0
kuģis „Iron Castle”,0
kuģis „Iron Castle”,0
kuģu,32
kuģu,32
kuģu,32
kuģu,32
kuģu,32
kuģus,10
kuģus,10
kuģus,10
kuģus,10
kuģus,10
kuģus,10
kuģus,10
kuģītim,1
kuģīši,1
kuģīši,1
laivas,21
laiviņā,1
laivu,18
laivu,18
motorlaiva,12
motorlaiva „Kaija”,2
nedēļniekiem,1
nedēļnieks,3
nedēļnieks,3
nedēļnieku,1
tvaikoni,16
tvaikoni,16
tvaikoni „Skotland”,1
tvaikonis,8
tvaikonis,8
tvaikonis „Gaita”,1
tvaikonis „Iron Castle”,0
tvaikonis „Skotland”,1
tvaikonis „Skotland”,1
tvaikoņi,6
tvaikoņi,6
tvaikoņi,6
tvaikoņu,6
tvaikoņu,6
štīmeri „Skotland”,1
„āžiem”,1
