2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
barkas,7
barkas,7
braucēji burenieki,1
burenieki,7
divmastu burenieku,1
divmastu malkas-jānis,0
dreidnautam,0
jūras maisus,1
jūras satiksmes,0
kaujas kuģi,2
kravas tvaikonis,0
laiva,68
laivas,46
laivenieku,1
loču kuģīši,1
malkas-jāņa,1
motorbureniekos,1
motorlaiva,2
motorlaivas,1
motorlaivu,8
motorlaivu,8
piecmastu pilnrājnieks,1
pilnrājnieks,1
preču tvaikoni,2
preču tvaikonis,2
satiksmes motorlaivu,0
tanku kuģis,1
transatlantiskās ostas,1
transatlantiskās satiksmes milzenis,1
transatlantiskās satiksmes milzenis,1
transportkuģiem,0
trīsmastnieku,1
trīsmastnieku burenieks,0
tvaikoni,29
tvaikoņi,13
tvaikoņu,8
velkonis,2
zemūdenes,8
zvejas šoneriem,0
šoneriem,1
