2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
aeroplani,1
auto,20
auto ar sevīšķu mazu tvaika mašīnu,1
autobusi,1
barkas,1
brīgas,1
bura kuģi,0
burinieki,3
burinieki,3
burinieku flotīles,1
diližanss,1
elektriskie dzelzceļi,0
elektrisku motoru dzīti satiksmes līdzekļi,0
elektrokars,3
elektrokars,3
elektrokaru,6
elektrokaru,6
jachtas,1
kreiseri „Rauna”,0
lidmašīnas,21
lidmašīnas,21
lidmašīnas,21
lokotīves,0
pajūgi,3
pilnkuģgi,0
stratosferas lidaparāti,0
tvaikoņi,5
tvaikoņi,5
tvaikoņu,1
zemūdenē,1
šoneri,1
