2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
fregate,5
fregate,5
fregate,5
korvete,3
korvetes,1
krasta braucējs,1
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģa,65
kuģi,131
kuģi,131
kuģi,131
kuģi,131
kuģi,131
kuģi,131
kuģi,131
kuģi,131
kuģi,131
kuģinieki,7
kuģinieks,4
kuģinieku,6
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģis,33
kuģniek,1
kuģu,35
laipu,3
laivas,21
laivas,21
laivas,21
laivas,21
laivu,39
laivu,39
laivu,39
laivu,39
laivu,39
laivu,39
laivu,39
vienmasta krastu braucēja,0
„Krokodīls”,25
„Krokodīls”,25
„Krokodīls”,25
„Krokodīls”,25
„Vaizivi”,1
„Valzivs”,8
