2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
aerodrednautu,2
aeroplana,1
aerostatu,2
autogazomotori,1
elektriski gaisa pūķi,1
hidroaeroplani,1
hidroaeroplani,1
hidroaeroplanu,2
hidroaeroplanu,2
hidroaeroplanu,2
hidroaeroplanu,2
hidroaeroplānu,1
hidroaeroplānu,1
hidroplani,2
hidroplani,2
hidroplani,2
hidroplani,2
hidroplani,2
hidroplānu,1
hidroplānu,1
hidroplānu,1
jūras,45
jūras,45
kara kuģus,0
karakuģi,2
karakuģi,2
kuģi,25
kuģi,25
kuģi,25
kuģiem,8
kuģiem,8
laivas,21
lidaparātu,0
lidmašinas,76
lidmašinu,41
lidmašinu,41
lidmašinu,41
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnas,18
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnu,10
lidmašīnām,6
lidmašīnām,6
motorslēpju,2
motorslēpju,2
mīnu trāleri,1
plosti,3
transporta,11
transporta,11
transporta tvaikoņi,1
transportu,10
transportu,10
transportu,10
transportu,10
tvaikoņi,3
tvaikoņi,3
tvaikoņi,3
tvaikoņu,1
tvaikoņu,1
zemūdens kuģi,1
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivas,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens laivu,5
zemūdens motori,1
zemūdens tanku,0
zemūdens tankus,0
zemūdenslaivas,3
zemūdenslaivas,3
zemūdenslaivas,3
zemūdenslaivas,3
zemūdenslaivu,1
zemūdenslaivu,1
земūdens laivu,0
