2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
automobiļiem,0
kuģa,0
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīna,27
lidmašīnai,2
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnas,16
lidmašīnu,11
lidmašīnu,11
lidmašīnu,11
lidmašīnu,11
lidmašīnu,11
lidmašīnu,11
lidmašīnu,11
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnā,5
lidmašīnām,0
lidomašīna,0
pajugiem,0
pajugā,0
pajugā,0
pajugā,0
pajugā,0
pajugā,0
pajšūgs,0
pajūgs,4
pajūgs,4
pajūgs,4
ragavas,1
ragavās,0
rati,19
ratiem,4
ratiem,4
ratiem,4
ratiem,4
ratos,8
ratos,8
ratos,8
ratu,5
ratu,5
ratus,2
ratus,2
vilciena,1
vilciens,1
vilciens,1
vilcienu,4
vilcienā,1
