2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
artilerija,65
flote,1
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
jātnieki,7
laivas,6
laivas,6
laivas,6
lielgabali,56
lielgabali,56
lielgabali,56
lielgabali,56
lielgabali,56
lielgabali,56
lielgabali,56
lielgabali,56
lokomotīve,2
lokomotīve,2
lokomotīve,2
lokomotīve,2
lokomotīve,2
lokomotīve,2
lokomotīve,2
lokomotīve,2
lokomotīve,2
lokomotīves,1
lokomotīves,1
lokomotīves,1
lokomotīves,1
lokomotīves,1
lokomotīves,1
lokomotīves,1
lokomotīves,1
lokomotīves,1
motorratu,1
tvaikonīši,1
vezumam,1
vezumam,1
vezumi,15
vezumi,15
vezumnieki,18
vezumnieki,18
vezumnieki,18
vezumnieki,18
vezumnieki,18
