2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
"""Ausekli""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzeni""",0
"""Dzenis""",0
"""Dzenis""",0
"""Dzenis""",0
"""Dzenis""",0
"""Dzenis""",0
"""Dzenis""",0
"""Dzenis""",0
"""Dzenis""",0
"""Dzenis""",0
"""Kalpa""",0
"""Kalpa""",0
"""Kalpa""",0
"""Kalpa""",0
"""Kalpam""",0
"""Kalpam""",0
"""Kalpam""",0
"""Kalps""",0
"""Kalps""",0
"""Kalps""",0
"""Kalps""",0
"""Kalpu""",0
"""Krīva""",0
"""Krīvam""",0
"""Krīvs""",0
"""Krīvs""",0
"""Krīvs""",0
"""Krīvu""",0
"""Krīvu""",0
"""Krīvu""",0
"""Labrīt""",0
"""Labrīt""",0
"""Labrīt""",0
"""Labrīt""",0
"""Mariannas""",0
"""Merkatora""",0
"""Merkatora""",0
"""Merkatora""",0
"""Merkatoram""",0
"""Merkatoram""",0
"""Merkators""",0
"""Merkators""",0
"""Merkators""",0
"""Merkators""",0
"""Merkators""",0
"""Merkatoru""",0
"""Neptuns""",0
"""Pērkons""",0
"""Pērkons""",0
"""Reņģuciems""",0
"""Svjatopolk""",0
"""Svjatopolk""",0
"""Svjatopolk""",0
burinieki,2
burinieki,2
burinieki,2
burinieki,2
burinieks,3
burinieks,3
burinieks,3
burinieks,3
burinieks,3
burinieks,3
burinieks,3
burinieks,3
divmastnieks,3
divmastnieks,3
divmastnieks,3
divmastnieks,3
divmastnieks,3
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģi,214
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
kuģis,78
laiva,51
laiviņā,3
laivu,21
laivu,21
laivu,21
laivu,21
laivu,21
laivu,21
laivu,21
laivā,17
laivā,17
laivā,17
mašina,1
plostu,1
trijmastu kuģis,1
trījmastu kuģis,0
tvaikoni,27
tvaikoni,27
tvaikoni,27
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonis,13
tvaikonītis,1
tvaikonītis,1
tvaikonīši,2
tvaikonīši,2
tvaikonīši,2
tvaikonīši,2
tvaikoņi,11
tvaikoņi,11
tvaikoņi,11
vienmastnieka,1
vienmastnieks,0
