2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
auto,40
autobusos,1
autobusu,4
autobusu,4
automobilim,2
automobilī,1
automobiļa,4
automobiļa,4
automobiļa,4
automobiļa,4
automobiļa,4
automobiļam,1
automobiļi,3
automobiļi,3
automobiļi,3
automobiļi,3
automobiļi,3
automobiļi,3
automobiļiem,1
automobiļiem,1
automobiļus,1
automobiļus,1
automobiļus,1
kamaniņu,1
kamaniņu,1
kamanās,1
kuģi,4
kuģi,4
kuģiem,1
kuģiem,1
kuģu,1
laivu,1
ormaņiem,1
ormaņiem,1
ormaņu,1
preču,10
preču,10
preču,10
preču,10
preču,10
ragaviņām,1
taksi,1
takšus,1
tramvaja,9
tramvaja,9
tramvajos,1
tramvaju,4
tramvajā,3
velosipedu,4
velosipēda,2
velosipēda,2
velosipēda,2
velosipēda,2
velosipēdam,1
velosipēdam,1
velosipēdam,1
velosipēdu,0
velosipēdu,0
velosipēdu,0
velosipēdu,0
vilcienos,1
