2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
Džonkas,1
airu laivas,1
bruņotiem kreiseriem,2
bruņotā kreisera,1
bruņu kreiseram,2
bruņu kreiseri,1
bruņu kugiem,1
bruņu kuģiem,4
bruņu kuģiem,4
bruņu kuģiem,4
bruņu mīņu licejiem,0
kamanās,7
kamanās,7
kamanās,7
kamanās,7
kamanās,7
kamanās,7
kamanās,7
kamanās,7
kaŗa floti,1
kaŗa kuģiem,3
kreiseri,14
kreiseriem,5
kreiseriem,5
kreiseriem,5
kreiseriem,5
laivas,17
laivas,17
laivas,17
lielgaballaiva,2
lielgabalu laivu,0
mīnu kuģi,8
mīnu kuģi,8
mīnu kuģiem,3
mīnu kuģus,3
ratiem,1
torpedu laivas,9
torpedu laivas,9
torpedu laivām,1
torpedu laivām,1
transporta kuģis,1
tvaikonis,5
tvaikonis,5
vilcienu,4
