2025_02_27_google_gemini-flash-1.5_maritime_prompt,count
Agenskalna kuģīti,1
Krievijas plostus,1
automobiļa,0
automobiļa,0
automobiļa,0
automobiļa,0
automobiļa,0
automobiļi,2
automobiļi,2
automobiļi,2
automobiļiem,0
automobiļos,2
automobiļos,2
automobiļos,2
automobiļu,5
automobiļu,5
automobiļu,5
automobiļu,5
automobiļu,5
automobiļu,5
jūrmalas vilcieni,1
jūrmalas vilcienu,1
jūrmalas vilcienu,1
plostiem,1
plostiem,1
plostiem,1
plostiem,1
plostu,3
plostu,3
sanitārvilcienam,0
smago ormaņu,1
svešzemju tvaikoņiem,1
svešzemju tvaikoņiem,1
tvaikonīša,1
tvaikonīša,1
tvaikonīša,1
tvaikonīša,1
tvaikonīša,1
vagonam,0
vagoniem,3
vagonos,4
vagonos,4
vagonos,4
vagonos,4
vagonos,4
vagonu,11
vagonu,11
vagonu,11
vagonā,4
vagonā,4
vagonā,4
vagonā,4
velkonī,1
vezumi,1
vezumiem,1
vilciena,12
vilciena,12
vilciena,12
vilciena,12
vilcienam,5
vilcienam,5
vilcienam,5
vilcienam,5
vilcienam,5
vilciens,5
vilcienu,9
vilcienu,9
vilcienu,9
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
vilcienā,11
ātrvilcienā,2
ātrvilcienā,2
парохода,0
