term,term_freq,doc_freq
laivas,1146,183
kuģis,770,138
kuģi,2492,127
rati,2821,86
laivu,590,78
laivā,521,65
tvaikonis,196,64
vilciens,362,63
kamanas,141,60
laiva,944,50
auto,1121,43
kuģiem,198,43
pajūgs,127,42
kuģa,616,41
ragavas,91,34
tvaikoņi,76,32
kuģu,248,30
plosts,28,27
jachta,304,24
pajūgi,58,22
ratiem,176,22
motorlaiva,113,21
laiviņa,50,21
tramvajs,22,21
laiviņā,52,21
vezumi,162,20
kamanās,87,20
kuģus,60,20
kuģī,55,20
laivās,80,19
lidmašīna,297,19
plostu,142,19
vezumam,20,19
automobiļi,29,17
plosti,81,17
laivām,53,17
automobilī,56,16
vezuma,97,15
lokomotīve,48,15
ormanis,20,15
tvaikoni,102,14
automobilis,19,14
vilcienu,59,13
važonis,11,12
liellaivas,33,12
pajūgu,50,12
kuģītis,7,11
droška,14,11
vāģi,64,11
laiviņas,16,11
velkonis,36,11
automobiļa,16,10
tvaikonītis,12,10
kamanām,50,10
vilcienā,44,10
vezums,35,10
mašīna,127,9
tvaikoņa,15,9
ratus,31,8
tvaikoņiem,9,8
jachtā,17,8
tvaikonīši,7,8
kuģos,17,8
motorlaivas,12,8
lidmašīnas,188,8
kuģīti,21,8
ores,92,8
vāģis,18,8
automobiļiem,15,8
autobuss,9,7
vagonā,19,7
automobīlis,5,7
kariete,27,7
pajāgs,0,7
aizjūgs,12,7
ragavās,32,7
tvaikoņu,21,7
ratos,63,7
barkas,19,6
kuģim,48,6
kuģīši,6,6
važonī,9,6
vagoni,17,6
kuģiši,9,6
zirgs,66,6
limuzīns,14,6
arkls,6,6
jachtas,31,6
lokomotīves,8,6
gondola,7,5
taksi,2,5
pajūgā,5,5
ratā,25,5
zemūdenes,76,5
pajāgi,0,5
karietes,18,5
plosta,31,5
velkoņi,6,5
lokomotive,18,5
rato,35,5
bēris,13,5
tramvaji,6,5
kupejā,10,5
automobiļu,27,5
kamanu,21,5
laiviņu,28,5
tvaikonī,13,5
```,0,5
burinieks,14,5
vilcienam,15,5
ormaņi,5,4
lidmašīnā,56,4
gondolā,9,4
kuģinieku,16,4
bruņotais vilciens,9,4
kreiseri,58,4
baržas,10,4
velosipēds,1,4
plostiem,4,4
vagoniem,8,4
zirgi,176,4
linijdroška,6,4
ratu,50,4
kupeja,12,4
zirģelis,6,4
ormani,33,4
kuteris,14,4
galeras,23,4
pajūgus,4,4
pajugiem,0,4
tvaikoniši,3,4
motociklets,8,4
važoni,14,4
jātnieki,102,4
kuļmašīna,10,4
motocikls,9,4
preču tvaikonis,4,4
autobusu,8,4
vilciena,20,4
automobils,12,4
ratoši,0,4
vezumu,9,3
lielaiva,0,3
vezumos,4,3
vezumnieki,37,3
vezumiem,5,3
vezumā,4,3
laiviņās,4,3
lidmašīnām,23,3
lidmašīnu,126,3
tramvajā,8,3
gondolās,4,3
kuģītī,6,3
kuģīša,6,3
goda rati,2,3
kuģīšu,3,3
traktors,6,3
ratiņi,7,3
fregates,33,3
fregate,59,3
laivam,15,3
tvaikonīša,5,3
tvaikonīšu,7,3
jūru,28,3
laivinieks,12,3
vagonu,13,3
kumeļu,42,3
divjūgs,8,3
kuģiti,4,3
lidmašina,55,3
plostus,3,3
lielgabali,79,3
burinieki,6,3
pajā,0,3
kuģinieki,9,3
barža,4,3
karakuģi,4,3
lokomobile,10,3
ormaņa rati,2,3
kokasnieki,2,3
kuģga,25,3
mašīnu,24,3
ātrvilcienā,3,3
strūgas,29,3
orē,40,3
zirdziņš,9,3
slitas,10,3
mašina,13,3
aeroplani,8,3
aeroplans,4,3
aeroplāns,6,3
zvejnieku laivas,4,3
ormanī,5,3
mašīnas,8,3
liellaivā,7,3
motorlaivā,3,3
motorlaivu,16,3
kara kuģus,3,3
šoneris,19,3
briga,22,3
ori,106,3
* laivas,0,2
jūrmalas,3,2
laipu,11,2
oras,5,2
ešelons,2,2
flote,5,2
laipas,6,2
laimā,0,2
ešaloni,2,2
slidas,0,2
tvaikonim,3,2
ore,55,2
sirms,2,2
ešalons,1,2
zēģelniekiem,5,2
eķipažā,2,2
eķipaža,7,2
ātrvilciens,2,2
kuģu būvētavas,1,2
tvaikonīti,6,2
zēģeles,0,2
hidroplāns,2,2
zēģele,4,2
kreiseris,4,2
aeroplanā,5,2
jachtām,1,2
kumeļš,11,2
pusrati,15,2
vienkoči,3,2
ekspresis,5,2
tramvaju,6,2
fregātes,11,2
kuģniecības,2,2
fregāte,18,2
glābšanas laivas,2,2
kuģīšiem,2,2
satiksmes tvaikonītis,2,2
ratnīcā,5,2
* plosti,0,2
transportkuģi,1,2
korvete,4,2
transportkuģis,0,2
ķēve,15,2
gondolu,3,2
ērzeļa,6,2
transportu,11,2
trijjūgs,3,2
ormaņu,3,2
govis,94,2
jātnieku,6,2
galeoni,3,2
kuļmašīnu,3,2
torpedu laivas,10,2
oris,5,2
kuša,80,2
jūras,59,2
kuši,209,2
fūrmanī,8,2
fūrmanis,4,2
fūrmani,6,2
ragaviņām,2,2
ātrvilcienu,5,2
jūras laivas,3,2
kučieris,14,2
vienkocī,8,2
aizjūgos,2,2
automobiļos,3,2
vērsis,8,2
stīmeris,3,2
cepelīns,1,2
velosipedu,7,2
dampis,2,2
lokomotives,2,2
zemūdene,81,2
karietē,4,2
autotaksis,3,2
zemūdens laivas,8,2
kaleše,0,2
automobīļi,5,2
ekipāža,16,2
divjūgu,6,2
preču kuģis,2,2
kuģitis,2,2
automobiļus,2,2
vāģī,1,2
